Date,Close_NIKE,Open_NIKE,High_NIKE,Low_NIKE,Close_DJIA,Open_DJIA,High_DJIA,Low_DJIA
7/20/2018,77.16,76.31,77.08,76.16,25058.12,25041.14,25124.1,24986.35
7/23/2018,78.15,76.71,76.95,76.13,25044.29,25036.9,25081.45,24983.33
7/24/2018,76.89,76.85,77.09,75.44,25241.94,25092.43,25286.62,25092.43
7/25/2018,75.96,75.24,77.18,75.06,25414.1,25183.7,25432.87,25113.55
7/26/2018,76.91,77,78.44,76.82,25527.07,25468.55,25587.24,25463.16
7/27/2018,77.54,78.17,78.41,76.79,25451.06,25520.52,25580.22,25370.07
7/30/2018,78.65,76.88,76.96,75.43,25306.83,25439.32,25500.16,25287.38
7/31/2018,78.74,76.44,77.59,76.16,25415.19,25345.21,25490.98,25345.21
8/1/2018,79.51,76.5,78.06,76.5,25333.82,25461.63,25488.8,25278.32
8/2/2018,80.53,77.77,79.07,77.4,25326.16,25256.45,25360.48,25120.07
8/3/2018,80.5,78.73,78.98,78.44,25462.58,25360.37,25467.9,25325.17
8/6/2018,81.26,78.74,79.58,78.43,25502.18,25437.43,25540.02,25381.38
8/7/2018,80.73,79.73,80.63,79.27,25628.91,25551.65,25692.72,25551.65
8/8/2018,80.15,80.21,81.08,80.04,25583.75,25615.72,25634.11,25557.48
8/9/2018,80.14,80.49,81.88,80.41,25509.23,25589.79,25613.31,25492.69
8/10/2018,79.57,80.82,81.29,80.29,25313.14,25401.19,25401.19,25222.88
8/13/2018,80.05,80.82,81.15,80.01,25187.7,25327.19,25381.39,25153.93
8/14/2018,79.75,80.33,80.85,79.68,25299.92,25215.69,25339.51,25201.87
8/15/2018,82.18,79.57,79.86,79.12,25162.41,25235.37,25235.37,24965.77
8/16/2018,82.95,79.9,80.61,79.8,25558.73,25294.97,25607.34,25294.97
8/17/2018,82.64,80.04,80.44,79.68,25669.32,25550.8,25728.16,25521.66
8/20/2018,82.91,81.52,82.42,80.95,25758.69,25727.7,25790.17,25716.41
8/21/2018,82.45,82.31,83.08,82.02,25822.29,25786.99,25888.82,25784.9
8/22/2018,82.65,83.1,83.68,82.28,25733.6,25825.06,25836.16,25722.43
8/23/2018,82.58,82.43,83.57,82.34,25656.98,25714.86,25762.56,25608.02
8/24/2018,82.79,82.42,82.88,82.1,25790.35,25688.58,25826.05,25688.58
8/27/2018,81.4,83.04,83.45,82.23,26049.64,25882.71,26067.57,25882.71
8/28/2018,82.2,83.23,83.63,82.48,26064.02,26092.7,26122.24,26037.85
8/29/2018,79.6,82.42,83.1,82.22,26124.57,26082.53,26167.94,26035.3
8/30/2018,79.92,82.58,82.76,81.01,25986.92,26099.01,26104.37,25934.8
8/31/2018,80.4,81.25,82.25,81.25,25964.82,25964.85,26028.83,25879.77
9/4/2018,80.3,79.39,80.97,79,25952.48,25916.07,25971.77,25805.95
9/5/2018,82.1,79.65,80.32,79.3,25974.99,25919.84,26011.22,25871.04
9/6/2018,82.63,80.17,80.84,79.77,25995.87,25973.02,26073.68,25880.84
9/7/2018,83,80.01,81.16,80.01,25916.54,25951.02,26002.99,25818.39
9/10/2018,83.47,81.39,82.44,81.22,25857.07,25991.91,26039.96,25854.13
9/11/2018,83.49,83.2,83.58,82.55,25971.06,25841.14,26019.92,25754.32
9/12/2018,83.26,82.7,83.04,82.04,25998.92,25989.07,26145.72,25929.43
9/13/2018,85.26,83.21,83.9,83.12,26145.99,26083.94,26191.64,26067.08
9/14/2018,84.43,83.58,83.84,83.06,26154.67,26169.56,26211.11,26068.29
9/17/2018,85.37,83.49,83.93,82.94,26062.12,26151.66,26184.47,26030.35
9/18/2018,85.55,83.24,85.35,83.24,26246.96,26076.21,26317.34,26076.21
9/19/2018,84.27,85.69,85.85,84.12,26405.76,26287.84,26464.41,26280.76
9/20/2018,84.79,85.09,85.87,84.93,26656.98,26519.39,26697.49,26519.39
9/21/2018,83.7,86,86.04,85.01,26743.5,26726.25,26769.16,26680.37
9/24/2018,84.54,85.16,85.26,84.25,26562.05,26705.25,26709.94,26548.68
9/25/2018,84.72,84.86,85.1,84.07,26492.21,26601.58,26634.85,26475.58
9/26/2018,84.46,82.61,84.73,81.95,26385.28,26536.86,26606.09,26349.34
9/27/2018,82.77,83.77,84.92,83.73,26439.93,26418.27,26557.01,26379.95
9/28/2018,82.5,84.29,85.27,84.25,26458.31,26407.66,26515.76,26383.57
10/1/2018,80.18,85.1,85.85,84.37,26651.21,26598.36,26737.98,26596.05
10/2/2018,80.12,84.34,84.55,82.5,26773.94,26648.91,26824.78,26627.66
10/3/2018,80.23,81.93,82.96,81.75,26828.39,26833.47,26951.81,26789.08
10/4/2018,80.42,82.34,82.48,80.02,26627.48,26784.08,26793.82,26471.61
10/5/2018,74.94,80.09,80.99,79.43,26447.05,26632.77,26676.16,26301.81
10/8/2018,74.51,80.04,80.54,79.08,26486.78,26399.45,26529.35,26223.09
